previous_score,study_hours,distraction_time,lessons_completed,sleep_hours,group_study,learning_style,effective_study,score
78,1.4220682101209792,2.1226371259818095,9,8.133260287303202,1,practice,-0.7005689158608304,65.9887681895603
91,3.418052338227766,0.4351948129382932,2,8.515468639382691,0,practice,2.982857525289473,82.27412396656858
68,1.1996626782727147,4.078743217521405,14,8.66785541728824,1,practice,-2.8790805392486902,63.93358198016848
54,5.483486679813036,1.867548415191938,14,8.006739959369042,0,theory,3.6159382646210982,77.41201865342362
82,5.2858962711011275,2.632495970768905,4,7.371294210032495,0,practice,2.6534003003322226,64.38845551431635
47,8.48234341056251,0.5615217220560959,6,4.028592906803946,0,theory,7.920821688506415,80.0769055949944
60,3.769995157939445,0.012920074224911926,11,6.329128766115623,1,theory,3.757075083714533,72.22566833218563
78,8.347471616917561,3.189926028966488,3,6.855811493111805,0,theory,5.157545587951073,71.38887450125074
97,9.711763888958407,2.575875851668658,8,5.520151362239998,0,practice,7.135888037289749,95.99341264910325
58,1.7956740102908193,2.967692845615736,3,5.59052223451736,0,practice,-1.1720188353249168,30.8675837915246
62,8.126360555226697,3.9687192519025816,14,8.805797078550825,0,practice,4.157641303324115,86.26295378905161
50,6.309603074238725,3.2330295671143006,13,8.45855432601373,1,practice,3.076573507124424,71.78796807697778
50,5.320413703166276,0.8738672141368858,13,8.24589502750852,1,practice,4.44654648902939,81.65013278665307
63,4.784822007985676,1.803862595552999,2,6.030059008530554,0,theory,2.9809594124326773,63.13968233625109
92,8.062014375498787,4.529455523938802,13,4.068492752044572,0,theory,3.532558851559985,82.7104833322593
75,6.754252212768181,3.849723501258395,19,4.40111123227857,1,theory,2.904528711509786,92.40857746271497
79,8.245402007674258,2.783185289683586,6,5.560981841088019,1,practice,5.462216717990672,88.04333027745915
63,9.128359528089636,1.2782249890463615,16,4.078714564978385,1,theory,7.850134539043275,100.0
42,6.555373408875628,1.5103025091739752,2,4.08574890957599,0,theory,5.045070899701653,51.426088367967644
61,9.824164525831401,3.6597903379281727,8,8.583016508212054,1,practice,6.1643741879032286,92.59044384268579
92,6.472790645876967,4.255871304263854,17,7.530792510595271,0,practice,2.2169193416131128,87.19630713606574
41,6.729798894600544,3.357123347653072,2,5.5447799503407635,0,theory,3.3726755469474714,47.34288936028408
63,5.993340476880031,4.047649878842209,10,4.663222888004766,1,theory,1.9456905980378227,63.90589213702662
83,1.8190188194619725,3.8332806760020297,16,6.558178589475386,0,practice,-2.014261856540057,60.21821053428308
69,7.537573293852054,0.7485198397847886,6,4.026730804271822,1,practice,6.789053454067266,77.9973902868273
77,5.927016762092004,2.11972406456651,2,8.69206871929072,0,practice,3.8072926975254937,62.585106351294556
41,5.05819402674494,0.7649190041428133,2,6.074075596944736,1,practice,4.293275022602127,60.8101909585275
99,9.194241505629456,1.1761779240099242,13,6.011674776186664,0,theory,8.018063581619533,100.0
60,3.6816350638775543,4.346298123255263,15,5.952968037908911,0,theory,-0.6646630593777085,46.479565816447575
